alignment	ts	sha	stage	rc
all-runs	2026-09-19T01:55:04Z	7f0f4cc	10-fixture-integrity	0
all-runs	2026-09-19T01:55:04Z	7f0f4cc	20-receipt-freshness	0
all-runs	2026-09-19T01:55:04Z	7f0f4cc	30-no-secrets	0
all-runs	2026-09-19T01:55:05Z	7f0f4cc	40-omp-compact-replay	0
all-runs	2026-09-19T01:55:06Z	7f0f4cc	50-house-gates	0
all-runs	2026-09-19T01:55:09Z	7f0f4cc	60-staged-deletion-lane	0
all-runs	2026-09-19T01:55:09Z	7f0f4cc	70-tests-registry-sync	0
all-runs	2026-09-19T02:00:44Z	7f0f4cc	10-fixture-integrity	0
all-runs	2026-09-19T02:00:44Z	7f0f4cc	20-receipt-freshness	0
all-runs	2026-09-19T02:00:44Z	7f0f4cc	30-no-secrets	0
all-runs	2026-09-19T02:00:45Z	7f0f4cc	40-omp-compact-replay	0
all-runs	2026-09-19T02:00:45Z	7f0f4cc	50-house-gates	0
all-runs	2026-09-19T02:00:48Z	7f0f4cc	60-staged-deletion-lane	0
all-runs	2026-09-19T02:00:48Z	7f0f4cc	70-tests-registry-sync	0
all-runs	2026-09-19T02:06:33Z	7f0f4cc	10-fixture-integrity	0
all-runs	2026-09-19T02:06:33Z	7f0f4cc	20-receipt-freshness	0
all-runs	2026-09-19T02:06:33Z	7f0f4cc	30-no-secrets	0
all-runs	2026-09-19T02:06:34Z	7f0f4cc	40-omp-compact-replay	0
all-runs	2026-09-19T02:06:35Z	7f0f4cc	50-house-gates	0
all-runs	2026-09-19T02:06:38Z	7f0f4cc	60-staged-deletion-lane	0
all-runs	2026-09-19T02:06:38Z	7f0f4cc	70-tests-registry-sync	0
all-runs	2026-09-19T02:06:54Z	7f0f4cc	80-lane-instrument-selftests	0
all-runs	2026-09-19T02:06:54Z	7f0f4cc	90-sidecar-verifier-wrapper	0
all-runs	2026-09-19T02:06:54Z	7f0f4cc	95-numerals-ratchet	0
all-runs	2026-09-19T02:06:54Z	7f0f4cc	96-verdict-status-agreement	0
all-runs	2026-09-19T02:06:54Z	7f0f4cc	97-readme-counts	0
all-runs	2026-09-19T02:07:54Z	7f0f4cc	10-fixture-integrity	0
all-runs	2026-09-19T02:07:54Z	7f0f4cc	20-receipt-freshness	0
all-runs	2026-09-19T02:07:54Z	7f0f4cc	30-no-secrets	0
all-runs	2026-09-19T02:07:55Z	7f0f4cc	40-omp-compact-replay	0
all-runs	2026-09-19T02:07:55Z	7f0f4cc	50-house-gates	0
all-runs	2026-09-19T02:07:58Z	7f0f4cc	60-staged-deletion-lane	0
all-runs	2026-09-19T02:07:58Z	7f0f4cc	70-tests-registry-sync	0
all-runs	2026-09-19T02:08:16Z	7f0f4cc	80-lane-instrument-selftests	0
all-runs	2026-09-19T02:08:16Z	7f0f4cc	90-sidecar-verifier-wrapper	0
all-runs	2026-09-19T02:08:16Z	7f0f4cc	95-numerals-ratchet	0
all-runs	2026-09-19T02:08:16Z	7f0f4cc	96-verdict-status-agreement	0
all-runs	2026-09-19T02:08:16Z	7f0f4cc	97-readme-counts	0
all-runs	2026-09-19T02:25:36Z	b4375e7	10-fixture-integrity	0
all-runs	2026-09-19T02:25:36Z	b4375e7	20-receipt-freshness	0
