category	bytes	sha256	duplicate_target	path
S	4377	f257be9243dd1f870aa5cb0962c658954a92f054e6c0249213e004df65d6b7d5		.flywheel/jeff-issue-rubric/v1/receipts/d94ac90060e08948.json
S	679	0d3ede34c50776d1adab8af5ec246177772a5b956e82416059f0f57e7635fc6f		demos/guard/live-receipt-20260922T042203Z.json
S	8570	bce3654498086baeccaf59eb7fa934bde7b174856afb94fbdadffe7262e92859		docs/PLAN-APPLICATION-20260921.md
S	4477	647b73d9c2294397935aa7c2d480a80661c30413c218f7e7c5bff0de8e8ca670		docs/PLAN-NATIVE-SDK-CUTOVER.md
S	615	d7b9fbf67fe3bcaa16ad3f010595da6354d18392c65c33d680e5df96d249de95		docs/demos/upstream-repro/p4-callback-absence-n77-done-20260920.txt
S	360	4ef2f67419d1bc2f5bdd365ca3e54bf894aa845203fa1083c4bace79415462b5		docs/demos/upstream-repro/p4-callback-absence-n77-start-20260920.txt
S	175	cfcb96de42fc774a28e1e9266b1d29848d56304e9cc78665822ef1d7f060f556		docs/demos/upstream-repro/p4-callback-arc-ownership-20260920.txt
S	943	74c9152c770a5015d8c504770ce8e219e72481901230fdc9450e614fa263721c		docs/demos/upstream-repro/p4-callback-jev-seat-done-20260920.txt
S	208	dfa01dc3e4d5d44ed0447bef7b00bbbcc367c324548c5668874e12bd990d9482		docs/demos/upstream-repro/p4-callback-jev-seat-start-20260920.txt
S	1011	60bbe033c0433358e854ae7ef4b416ee4fddef43f04b7c07ce897e136b574e88		docs/demos/upstream-repro/p4-callback-pane1-20260920.txt
S	9175	4e72d17cefdeb120349656c6ad1a24c4fec4c16274294a908a03d27af85ed15c		docs/demos/upstream-repro/untracked-artifacts-20260925.md
S	3157	07d8c932e8e45e26778ce1d241a02c8e56547a096601d624fdd953462a6814c8		notes/.rc-p1-6u0-verified.txt
S	3053	bb03a6e3ef625b94dc8c7f1f2401d21efc6f7ce26588e2b364512877ca1dfc67		notes/.rc-p1-always-push.txt
S	3783	cb5a8144898be6d0b3a981abddb10593c610339f701d7854a82dc4028b733b95		notes/.rc-p1-branch.txt
S	1689	ce455942efbd35737a076a04be2d52bac8333e1ecc2cbe217aedac02df8fa396		notes/.rc-p1-bystander.txt
