repo	path	pinned_sha	upstream_sha	behind	fetched_at
typesafe-sdk-python	upstream/typesafe-ai/typesafe-sdk-python	0ffd094	0ffd094	0	2026-09-18T15:58:46Z
typesafe-sdk-js	upstream/typesafe-ai/typesafe-sdk-js	66880cc	66880cc	0	2026-09-18T15:58:47Z
system-one-adapter-python	upstream/typesafe-ai/system-one-adapter-python	adffc2e	e1d4cc9	1	2026-09-24T04:16:13Z
skills	upstream/typesafe-ai/skills	65a39f3	65a39f3	0	2026-09-18T15:58:49Z
jev-mcp	upstream/jkudish/jev-mcp	6ec5efc	6ec5efc	0	2026-09-18T15:58:51Z
jev-review	upstream/NiazMorshed2007/jev-review	57690af	57690af	0	2026-09-18T15:58:53Z
jev-ultrafast	upstream/browser-use/jev-ultrafast	452c1ad	452c1ad	0	2026-09-18T15:58:56Z
jev-router	upstream/gargpratyush/jev-router	86660a0	86660a0	0	2026-09-18T15:58:58Z
jev-codex-router	upstream/0xNatoshi/jev-codex-router	8292b51	8292b51	0	2026-09-18T15:59:02Z
jev-rerank-bench	upstream/anessbelbati/jev-rerank-bench	cd9a35b	cd9a35b	0	2026-09-18T15:59:14Z
jev-phishing-bench	upstream/anisselbd/jev-phishing-bench	1d56e8c	1d56e8c	0	2026-09-18T15:59:17Z
jev-sec-bench	upstream/Gaurav-Gosain/jev-sec-bench	fdb16b9	fdb16b9	0	2026-09-18T15:59:19Z
jev-spam-eval	upstream/bitnovus/jev-spam-eval	76ef183	76ef183	0	2026-09-18T15:59:23Z
jev-agent-failure-benchmark	upstream/TokenTrim/jev-agent-failure-benchmark	4d46af7	4d46af7	0	2026-09-18T15:59:25Z
typesafe-ai-benchmark	upstream/iammrduncan/typesafe-ai-benchmark	e94fcda	e94fcda	0	2026-09-18T15:59:31Z
commit-miner	upstream/devanshbatham/commit-miner	977617e	977617e	0	2026-09-18T15:59:33Z
foreman	upstream/thruwire/foreman	2c43982	2c43982	0	2026-09-18T15:59:36Z
s1-rs	upstream/AbdelStark/s1-rs	b916897	b916897	0	2026-09-18T15:59:39Z
awesome-jev-by-typesafe	upstream/Anil-matcha/awesome-jev-by-typesafe	d57f5ce	d57f5ce	0	2026-09-18T15:59:41Z
bicameral	upstream/AbdelStark/bicameral	3bea244	3bea244	0	2026-09-18T15:59:44Z
skillranker	upstream/Dicklesworthstone/skillranker	3fe85c4	3fe85c4	0	2026-09-18T15:59:46Z
fast-jev-compaction	upstream/tamaratran/fast-jev-compaction	6e1da50	6e1da50	0	2026-09-18T15:59:48Z
ripwire	$HOME/Developer/ripwire	f45087a7	60b65f02	479	2026-09-24T04:16:32Z
